H,K,L,FreeR_flag,IMEAN,SIGIMEAN,I(+),SIGI(+),I(-),SIGI(-),F,SIGF,DANO,SIGDANO,F(+),SIGF(+),F(-),SIGF(-),ISYM
13,5,7,2,179.5518,146.0078,,,179.5518,146.0078,131.9345,45.52165,,,,,131.9345,45.52165,2
13,5,8,18,,,,,,,,,,,,,,,
13,5,9,18,,,,,,,,,,,,,,,
13,5,10,15,,,,,,,,,,,,,,,
13,5,11,12,,,,,,,,,,,,,,,
13,5,12,15,,,,,,,,,,,,,,,
13,5,13,9,,,,,,,,,,,,,,,
13,6,0,4,48.74971,33.83476,48.74971,33.83476,48.74971,33.83476,57.15098,18.88574,0,0,57.15098,26.70847,57.15098,26.70847,0
13,6,1,11,314.6154,148.3663,287.9412,238.4942,331.4557,189.4986,163.1101,38.7463,-8.151123,77.4926,159.0345,57.84501,167.1856,51.56605,0
13,6,2,1,996.3151,303.3701,944.9777,335.6548,1225.331,708.939,267.1343,58.52252,12.46356,117.045,273.3661,62.69469,260.9025,98.83783,0
13,6,3,8,1008.263,306.6534,1112.527,341.5879,575.3099,696.0728,260.6131,54.23277,91.05626,108.4655,306.1412,57.89759,215.085,91.72046,0
13,6,4,12,27.50075,35.02403,25.47063,36.10182,59.98643,144.416,81.59128,24.20736,-45.95334,48.41472,58.6146,22.27497,104.5679,42.98617,0
13,6,5,11,498.8349,163.1307,467.2484,275.4248,515.9032,202.4641,208.1354,39.35923,-13.89203,78.71845,201.1894,62.19033,215.0815,48.25927,0
13,6,6,9,2755.513,945.6661,3402.422,1154.543,1436.755,1648.433,370.3903,89.63627,170.9123,179.2725,455.8465,123.5557,284.9341,129.8947,0
13,6,7,11,220.4543,183.0145,220.4543,183.0145,,,145.1977,50.88122,,,145.1977,50.88122,,,1
13,6,8,11,242.0005,266.029,242.0005,266.029,,,156.635,60.19149,,,156.635,60.19149,,,1
13,6,9,11,,,,,,,,,,,,,,,
13,6,10,14,,,,,,,,,,,,,,,
13,6,11,13,,,,,,,,,,,,,,,
13,6,12,2,,,,,,,,,,,,,,,
13,6,13,5,,,,,,,,,,,,,,,
13,7,0,4,402.4503,148.5824,402.4503,148.5824,402.4503,148.5824,180.2688,33.81067,0,0,180.2688,47.81551,180.2688,47.81551,0
13,7,1,9,544.3418,122.8818,515.4457,180.8154,569.1414,167.5088,220.8835,28.60872,-17.57269,57.21744,212.0971,44.09048,229.6698,36.46731,0
13,7,2,12,1233.89,238.1446,1594.711,280.8675,311.031,449.1826,281.975,41.55388,207.6875,83.10777,385.8188,36.39889,178.1313,74.71293,0
13,7,3,15,1606.036,547.8485,1779.501,1012.121,1534.15,651.551,309.1807,75.3868,-17.84399,150.7736,300.2587,116.9808,318.1027,95.12191,0
13,7,4,17,137.1115,56.90331,,,137.1115,56.90331,113.2782,25.70101,,,,,113.2782,25.70101,2
13,7,5,11,880.4899,334.4754,1017.921,387.8537,481.7279,660.6664,260.7702,57.01398,70.24251,114.028,295.8915,67.07539,225.649,92.21318,0
13,7,6,5,197.2391,104.519,66.57053,143.8958,343.1691,152.0669,140.44,30.69379,-68.18015,61.38758,106.35,43.17733,174.5301,43.6366,0
13,7,7,16,986.1811,367.4793,586.5433,495.2335,1475.837,548.1786,275.0804,58.35665,-116.2514,116.7133,216.9547,82.4853,333.2061,82.57221,0
13,7,8,15,,,,,,,,,,,,,,,
13,7,9,7,,,,,,,,,,,,,,,
13,7,10,7,,,,,,,,,,,,,,,
13,7,11,2,,,,,,,,,,,,,,,
13,7,12,8,,,,,,,,,,,,,,,
13,7,13,17,,,,,,,,,,,,,,,
13,8,0,15,286.4678,84.60585,286.4678,84.60585,286.4678,84.60585,161.2315,20.37615,0,0,161.2315,28.81622,161.2315,28.81622,0
13,8,1,12,143.2171,44.3737,80.01757,65.38657,197.1725,60.41557,114.296,18.73227,-48.8312,37.46454,89.88039,30.48502,138.7116,21.77741,0
13,8,2,13,417.3005,157.0625,408.6687,184.25,440.2476,300.413,189.7655,40.71664,-2.756104,81.43329,188.3875,48.59663,191.1436,65.34331,0
13,8,3,19,1679.006,1035.628,1679.006,1035.628,,,281.1987,115.273,,,281.1987,115.273,,,1
13,8,4,18,383.4334,140.7553,295.4239,178.8007,526.8533,228.2491,188.7489,36.58153,-51.4037,73.16306,163.047,50.04879,214.4507,53.36621,0
13,8,5,16,3006.352,1326.425,3006.352,1326.425,,,425.5691,137.2162,,,425.5691,137.2162,,,1
13,8,6,17,323.5359,299.7592,323.5359,299.7592,,,173.0316,64.56577,,,173.0316,64.56577,,,1
13,8,7,1,436.5645,324.9491,,,436.5645,324.9491,184.1732,67.46812,,,,,184.1732,67.46812,2
13,8,8,13,557.4685,267.7577,722.6827,373.9019,383.5562,383.6181,196.8858,50.6796,47.58629,101.3592,220.679,72.89882,173.0927,70.42336,0
13,8,9,2,,,,,,,,,,,,,,,
13,8,10,6,,,,,,,,,,,,,,,
13,8,11,10,,,,,,,,,,,,,,,
13,8,12,4,,,,,,,,,,,,,,,
13,8,13,11,,,,,,,,,,,,,,,
13,9,0,16,41.84885,53.78786,41.84885,53.78786,41.84885,53.78786,55.2534,22.28757,0,0,55.2534,31.51939,55.2534,31.51939,0
13,9,1,17,859.7417,253.2101,,,859.7417,253.2101,279.7842,45.25096,,,,,279.7842,45.25096,2
13,9,2,1,341.3631,118.6678,388.8061,131.3483,130.6303,276.8245,164.2811,34.50854,47.71574,69.01708,188.1389,36.19889,140.4232,58.76221,0
13,9,3,8,666.9329,188.9877,848.5921,221.6082,182.5163,361.8817,221.6615,38.95627,121.0334,77.91254,282.1783,39.26741,161.1448,67.29365,0
13,9,4,18,276.4863,175.3128,,,276.4863,175.3128,159.6986,49.66766,,,,,159.6986,49.66766,2
13,9,5,5,1467.75,754.0723,1108.628,1111.335,1774.163,1026.543,296.7466,83.24767,-50.90427,166.4953,271.2945,115.7986,322.1988,119.6302,0
13,9,6,15,453.1299,297.6206,410.3579,325.0744,674.7481,739.9564,209.4564,58.80459,-41.81827,117.6092,188.5472,67.63597,230.3655,96.21484,0
13,9,7,12,359.2374,238.3117,414.7083,437.0466,335.7655,284.2949,178.6217,49.18199,17.02864,98.36398,187.136,75.54408,170.1074,62.99654,0
13,9,8,9,193.8707,167.5025,231.5999,193.6274,81.66862,333.9093,140.2841,40.11657,5.07782,80.23313,142.8231,52.10381,137.7452,61.01268,0
13,9,9,10,,,,,,,,,,,,,,,
13,9,10,3,,,,,,,,,,,,,,,
13,9,11,6,,,,,,,,,,,,,,,
13,9,12,16,,,,,,,,,,,,,,,
13,10,0,10,350.9158,279.3427,350.9158,279.3427,350.9158,279.3427,143.0163,53.00308,0,0,143.0163,74.95768,143.0163,74.95768,0
13,10,1,4,231.5201,71.46497,361.0705,117.4299,155.316,90.06342,150.8921,24.3129,62.8096,48.6258,182.2969,33.45787,119.4873,35.28512,0
13,10,2,15,211.0919,151.7325,,,211.0919,151.7325,140.1601,46.43877,,,,,140.1601,46.43877,2
13,10,3,15,117.6193,105.7661,256.0516,260.2324,90.22769,115.7581,133.6665,36.12567,56.16882,72.25134,161.7509,60.19775,105.5821,39.95604,0
13,10,4,3,6307.405,2565.197,6307.405,2565.197,,,493.8542,187.7386,,,493.8542,187.7386,,,1
13,10,5,17,1672.062,554.0658,1672.062,554.0658,,,355.6829,79.85268,,,355.6829,79.85268,,,1
13,10,6,5,2231.626,1359.107,2231.626,1359.107,,,320.1728,131.7867,,,320.1728,131.7867,,,1
13,10,7,5,124.0936,185.5722,,,124.0936,185.5722,125.5116,49.76247,,,,,125.5116,49.76247,2
13,10,8,14,1917.801,525.5219,,,1917.801,525.5219,355.781,76.07326,,,,,355.781,76.07326,2
13,10,9,13,730.098,467.5832,730.098,467.5832,,,192.5291,77.96632,,,192.5291,77.96632,,,1
13,10,10,15,,,,,,,,,,,,,,,
13,10,11,3,,,,,,,,,,,,,,,
13,10,12,11,,,,,,,,,,,,,,,
13,11,0,0,51.4518,83.6702,51.4518,83.6702,51.4518,83.6702,64.55463,27.03916,0,0,64.55463,38.23914,64.55463,38.23914,0
13,11,1,8,115.6389,79.35809,118.9355,85.70791,95.83184,210.0888,117.293,31.29821,-19.39771,62.59642,107.5942,34.89858,126.9919,51.96538,0
13,11,2,17,1169.838,349.8745,998.0307,691.1143,1229.043,405.704,296.9721,58.95957,-53.91122,117.9191,270.0165,98.44427,323.9277,64.91263,0
13,11,3,3,123.3458,126.936,123.3458,126.936,,,116.9182,42.2326,,,116.9182,42.2326,,,1
13,11,4,16,2626.351,1315.461,2626.351,1315.461,,,357.9431,134.9179,,,357.9431,134.9179,,,1
13,11,5,1,788.7921,655.3599,788.7921,655.3599,,,239.2865,93.94283,,,239.2865,93.94283,,,1
13,11,6,0,81.98155,212.8917,-185.5097,467.0205,152.1466,239.1892,135.154,42.40075,1.602112,84.8015,135.9551,64.29769,134.353,55.29106,0
13,11,7,12,1086.159,385.5621,,,1086.159,385.5621,278.0301,69.46476,,,,,278.0301,69.46476,2
13,11,8,5,467.9016,254.015,447.2864,339.7713,494.0239,382.4703,174.8526,49.04583,-4.563492,98.09165,172.5709,67.66659,177.1344,71.01553,0
13,11,9,12,300.315,227.4708,,,300.315,227.4708,146.9938,55.89809,,,,,146.9938,55.89809,2
13,11,10,4,,,,,,,,,,,,,,,
13,11,11,15,,,,,,,,,,,,,,,
13,11,12,10,,,,,,,,,,,,,,,
13,12,0,13,,,,,,,,,,,,,,,
13,12,1,10,2017.938,840.7928,2017.938,840.7928,,,380.6068,106.3749,,,380.6068,106.3749,,,1
13,12,2,9,286.886,118.7584,286.886,118.7584,,,163.2519,37.19085,,,163.2519,37.19085,,,1
13,12,3,5,2529.714,1046.558,,,2529.714,1046.558,395.4406,121.0242,,,,,395.4406,121.0242,2
13,12,4,19,5019.834,1546.071,4836.471,3092.298,5080.948,1785.22,370.3683,109.2711,-123.5569,218.5422,308.5899,150.8236,432.1468,158.1548,0
13,12,5,11,770.4008,186.1042,808.1793,193.0797,275.7109,698.6848,238.9468,47.6028,76.81189,95.2056,277.3527,34.80761,200.5408,88.61453,0
13,12,6,19,637.7098,286.9691,,,637.7098,286.9691,229.8669,61.28365,,,,,229.8669,61.28365,2
13,12,7,2,320.2481,163.9433,320.2481,163.9433,,,163.1633,47.42326,,,163.1633,47.42326,,,1
13,12,8,7,494.1819,260.1617,,,494.1819,260.1617,187.2151,60.80833,,,,,187.2151,60.80833,2
13,12,9,18,802.6866,365.4627,802.6866,365.4627,,,180.3799,70.2905,,,180.3799,70.2905,,,1
13,12,10,4,,,,,,,,,,,,,,,
13,12,11,4,,,,,,,,,,,,,,,
13,12,12,18,,,,,,,,,,,,,,,
13,13,0,15,1029.715,641.5727,1029.715,641.5727,1029.715,641.5727,256.2162,82.36845,0,0,256.2162,116.4866,256.2162,116.4866,0
13,13,1,7,6703.263,2837.343,6703.263,2837.343,6703.263,2837.343,494.9694,171.8627,-0,0,494.9694,243.0505,494.9694,243.0505,0
13,13,2,2,3322.481,1389.995,3322.481,1389.995,3322.481,1389.995,413.2362,120.5462,0,0,413.2362,170.478,413.2362,170.478,0
13,13,3,6,1690.52,1024.079,1690.52,1024.079,1690.52,1024.079,272.9546,101.3932,-0,0,272.9546,143.3916,272.9546,143.3916,0
13,13,4,1,407.5198,200.5661,407.5198,200.5661,407.5198,200.5661,169.0848,45.01482,0,0,169.0848,63.66057,169.0848,63.66057,0
13,13,5,12,1814.598,1199.391,1814.598,1199.391,1814.598,1199.391,230.5419,99.46796,-0,0,230.5419,140.6689,230.5419,140.6689,0
13,13,6,0,961.7324,479.8957,961.7324,479.8957,961.7324,479.8957,228.0046,71.25547,-0,0,228.0046,100.7705,228.0046,100.7705,0
13,13,7,4,293.9107,218.1966,293.9107,218.1966,293.9107,218.1966,127.5036,46.95919,0,0,127.5036,66.41032,127.5036,66.41032,0
13,13,8,4,193.078,215.7065,193.078,215.7065,193.078,215.7065,104.8659,43.64515,-0,0,104.8659,61.72356,104.8659,61.72356,0
13,13,9,3,,,,,,,,,,,,,,,
13,13,10,7,,,,,,,,,,,,,,,
13,13,11,4,,,,,,,,,,,,,,,
13,13,12,7,,,,,,,,,,,,,,,
14,0,0,0,304.6086,217.9168,304.6086,217.9168,304.6086,217.9168,139.4722,47.74057,0,0,139.4722,67.51536,139.4722,67.51536,0
14,0,1,16,4.62191,34.37895,4.62191,34.37895,4.62191,34.37895,35.12335,15.90735,0,0,35.12335,22.49639,35.12335,22.49639,0
14,0,2,2,251.8329,128.8926,251.8329,128.8926,251.8329,128.8926,132.2487,36.34112,-0,0,132.2487,51.39411,132.2487,51.39411,0
14,0,3,6,54.98378,46.38498,54.98378,46.38498,54.98378,46.38498,60.25986,21.77485,0,0,60.25986,30.79429,60.25986,30.79429,0
14,0,4,3,621.2249,304.9719,621.2249,304.9719,621.2249,304.9719,202.1667,55.98318,0,0,202.1667,79.17216,202.1667,79.17216,0
14,0,5,6,241.8611,115.203,241.8611,115.203,241.8611,115.203,133.8105,33.53032,0,0,133.8105,47.41903,133.8105,47.41903,0
14,0,6,3,640.6779,313.769,640.6779,313.769,640.6779,313.769,210.8572,56.36357,0,0,210.8572,79.71013,210.8572,79.71013,0
14,0,7,12,,,,,,,,,,,,,,,
14,0,8,6,,,,,,,,,,,,,,,
14,0,9,10,,,,,,,,,,,,,,,
14,0,10,18,,,,,,,,,,,,,,,
14,0,11,5,,,,,,,,,,,,,,,
14,0,12,0,,,,,,,,,,,,,,,
14,0,13,13,,,,,,,,,,,,,,,
14,1,0,19,711.1092,256.0104,711.1092,256.0104,711.1092,256.0104,236.2277,44.45025,-0,0,236.2277,62.86214,236.2277,62.86214,0
14,1,1,18,2275.307,398.1067,1556.13,481.9768,3819.506,706.2524,449.9273,48.16035,-213.956,96.3207,342.9493,72.50531,556.9053,63.40866,0
14,1,2,2,949.3577,272.0954,637.7715,560.4837,1045.434,311.2308,252.7147,50.65068,-85.32297,101.3014,210.0532,85.23834,295.3762,54.73928,0
14,1,3,15,470.3706,107.922,490.1225,178.1167,458.9129,135.6594,207.9033,27.46241,-0.8696747,54.92482,207.4685,44.23512,208.3382,32.5575,0
14,1,4,2,341.1747,138.1991,160.1114,200.901,503.8168,190.4072,171.6946,34.97326,-75.74657,69.94653,133.8213,52.12199,209.5679,46.64563,0
14,1,5,14,2422.458,688.3707,2069.779,892.9973,2938.91,1080.625,395.688,82.39957,-61.00269,164.7991,365.1866,111.799,426.1893,121.0774,0
14,1,6,6,1564.87,502.388,808.5217,705.7025,2342.069,715.3639,342.3192,65.1343,-178.1608,130.2686,253.2388,97.88208,431.3996,85.95935,0
14,1,7,10,,,,,,,,,,,,,,,
14,1,8,4,,,,,,,,,,,,,,,
