H,K,L,F,SIGF,DANO,SIGDANO,F(+),SIGF(+),F(-),SIGF(-),ISYM,IMEAN,SIGIMEAN,I(+),SIGI(+),I(-),SIGI(-),FreeR_flag
22,20,8,315.0883,40.77013,82.34738,83.00966,357.7303,55.7084,275.3829,61.54005,0,3.158978,0.7851805,4.100444,1.206715,2.467712,1.034009,15
22,20,9,164.4969,62.78397,0,62.78397,164.4969,62.78397,,,1,0.5737463,0.899029,0.5737463,0.899029,0,0,7
22,20,10,,,,,,,,,,,,,,,,5
22,21,0,276.2722,17.25888,0,0,276.2722,17.25888,276.2722,17.25888,0,2.397945,0.2969408,2.397945,0.2969408,2.397945,0.2969408,7
22,21,1,253.0156,13.94311,3.257278,28.13592,254.394,20.67107,251.1367,19.0876,0,2.009491,0.2199522,2.038686,0.3262861,1.985175,0.2977831,9
22,21,2,194.5417,21.13698,42.40204,44.27107,213.2328,27.36571,170.8307,34.80008,0,1.198408,0.2532282,1.446369,0.3567979,0.94674,0.3594544,17
22,21,3,203.4308,24.92133,1.588776,51.15527,202.6564,34.85488,201.0677,37.44328,0,1.314562,0.3106779,1.321899,0.4261642,1.306241,0.4538737,6
22,21,4,148.3281,40.0574,8.195129,69.74829,157.19,48.56946,148.9948,50.05828,0,0.7114305,0.3806169,0.7694226,0.5261152,0.6477498,0.5513158,1
22,21,5,169.776,40.8356,7.214737,73.43404,176.014,50.15797,168.7993,53.6352,0,0.9384491,0.4286242,0.9925657,0.57938,0.8730237,0.6370475,14
22,21,6,149.7638,47.64761,42.75417,78.83634,182.4789,56.21749,139.7247,55.26991,0,0.6866295,0.5026293,1.038462,0.7054409,0.3238469,0.7163348,6
22,21,7,133.4158,51.75782,58.53719,84.15002,184.9774,62.76765,126.4402,56.04862,0,0.3436141,0.6180151,0.9865366,0.8668878,-0.3208649,0.8813009,19
22,21,8,255.0108,50.4622,122.9863,90.7946,317.224,57.48816,194.2377,70.2764,0,2.106993,0.7769105,3.247246,1.099391,0.9695303,1.098045,17
22,21,9,185.9819,57.40905,4.555969,97.13306,199.3107,67.43196,194.7548,69.91253,0,1.077645,0.7352529,1.149506,1.000484,0.9932612,1.084158,17
22,22,0,108.7724,35.88134,0,0,108.7724,35.88134,108.7724,35.88134,0,0.3518388,0.2835427,0.3518388,0.2835427,0.3518388,0.2835427,8
22,22,1,157.6579,23.60366,0,0,157.6579,23.60366,157.6579,23.60366,0,0.7951419,0.2257501,0.7951419,0.2257501,0.7951419,0.2257501,18
22,22,2,155.4302,38.68281,0,0,155.4302,38.68281,155.4302,38.68281,0,0.7859679,0.3748212,0.7859679,0.3748212,0.7859679,0.3748212,0
22,22,3,192.7355,37.95725,0,0,192.7355,37.95725,192.7355,37.95725,0,1.203334,0.4415925,1.203334,0.4415925,1.203334,0.4415925,15
22,22,4,93.26756,38.93412,0,0,93.26756,38.93412,93.26756,38.93412,0,0.04615935,0.3787828,0.04615935,0.3787828,0.04615935,0.3787828,10
22,22,5,162.9114,53.69995,0,0,162.9114,53.69995,162.9114,53.69995,0,0.7897999,0.6351246,0.7897999,0.6351246,0.7897999,0.6351246,13
22,22,6,175.0292,57.8284,0,0,175.0292,57.8284,175.0292,57.8284,0,0.9096711,0.7363781,0.9096711,0.7363781,0.9096711,0.7363781,19
22,22,7,200.4615,60.54628,0,0,200.4615,60.54628,200.4615,60.54628,0,1.264376,0.8236389,1.264376,0.8236389,1.264376,0.8236389,3
22,22,8,253.9739,68.3334,0,0,253.9739,68.3334,253.9739,68.3334,0,2.086723,1.110056,2.086723,1.110056,2.086723,1.110056,10
22,22,9,379.4541,86.35196,0,0,379.4541,86.35196,379.4541,86.35196,0,4.687037,2.004719,4.687037,2.004719,4.687037,2.004719,2
23,0,0,113.4431,40.80628,0,0,113.4431,40.80628,113.4431,40.80628,0,0.3354906,0.369526,0.3354906,0.369526,0.3354906,0.369526,19
23,0,1,225.4726,23.24791,0,0,225.4726,23.24791,225.4726,23.24791,0,1.607909,0.323373,1.607909,0.323373,1.607909,0.323373,19
23,0,2,76.31204,29.42662,0,0,76.31204,29.42662,76.31204,29.42662,0,0.1168257,0.1988379,0.1168257,0.1988379,0.1168257,0.1988379,12
23,0,3,136.755,47.33492,0,0,136.755,47.33492,136.755,47.33492,0,0.5245075,0.4936266,0.5245075,0.4936266,0.5245075,0.4936266,11
23,0,4,165.5726,49.53511,0,0,165.5726,49.53511,165.5726,49.53511,0,0.8657583,0.5532332,0.8657583,0.5532332,0.8657583,0.5532332,17
23,0,5,174.0284,65.2695,0,0,174.0284,65.2695,174.0284,65.2695,0,0.6946814,0.961608,0.6946814,0.961608,0.6946814,0.961608,19
23,0,6,182.2437,61.54081,0,0,182.2437,61.54081,182.2437,61.54081,0,0.9632815,0.8332915,0.9632815,0.8332915,0.9632815,0.8332915,0
23,0,7,171.6226,61.32695,0,0,171.6226,61.32695,171.6226,61.32695,0,0.7790579,0.8333231,0.7790579,0.8333231,0.7790579,0.8333231,10
23,0,8,,,,,,,,,,,,,,,,0
23,0,9,,,,,,,,,,,,,,,,15
23,0,10,,,,,,,,,,,,,,,,8
23,0,11,,,,,,,,,,,,,,,,17
23,0,12,,,,,,,,,,,,,,,,18
23,0,13,,,,,,,,,,,,,,,,3
23,0,14,,,,,,,,,,,,,,,,0
23,1,0,143.9918,33.7397,0,0,143.9918,33.7397,143.9918,33.7397,0,0.6751172,0.2987591,0.6751172,0.2987591,0.6751172,0.2987591,8
23,1,1,407.3516,14.49013,-12.60507,29.059,400.7766,20.82603,413.3817,20.26578,0,5.192898,0.3694389,5.040216,0.5206079,5.347778,0.524343,1
23,1,2,431.9715,19.189,15.13464,39.3585,440.2818,30.34177,425.1471,25.06927,0,5.839576,0.5188102,6.09529,0.8310236,5.676256,0.6641344,15
23,1,3,461.74,19.89007,-19.1481,40.62589,453.1861,26.20047,472.3342,31.04833,0,6.672154,0.574824,6.448754,0.739997,7.012052,0.9127715,19
23,1,4,277.5582,28.24399,-6.835266,57.78049,272.5629,41.46408,279.3981,40.24072,0,2.435922,0.483824,2.378141,0.6850572,2.493425,0.6834069,3
23,1,5,229.3689,37.3324,77.87976,72.94344,267.9932,47.0304,190.1134,55.75739,0,1.689119,0.5175125,2.314,0.7600932,1.149128,0.7065796,9
23,1,6,359.7699,31.28927,-54.65121,65.38827,328.1474,51.28959,382.7986,40.55865,0,4.081331,0.6975494,3.450926,1.018934,4.637368,0.9569484,11
23,1,7,178.3796,57.33955,-37.83186,100.1557,178.3416,62.3555,216.1735,78.37701,0,0.9670689,0.726474,0.8776044,0.8576501,1.194289,1.36681,13
23,1,8,,,,,,,,,,,,,,,,19
23,1,9,,,,,,,,,,,,,,,,0
23,1,10,,,,,,,,,,,,,,,,5
23,1,11,,,,,,,,,,,,,,,,19
23,1,12,,,,,,,,,,,,,,,,3
23,1,13,,,,,,,,,,,,,,,,4
23,1,14,,,,,,,,,,,,,,,,3
23,2,0,179.2403,28.98069,0,0,179.2403,28.98069,179.2403,28.98069,0,1.031152,0.3140258,1.031152,0.3140258,1.031152,0.3140258,11
23,2,1,432.4535,14.70764,26.2952,29.5426,445.1239,20.20142,418.8287,21.55615,0,5.852615,0.3980922,6.200586,0.5628126,5.50421,0.5631623,2
23,2,2,237.6978,17.39487,14.7869,35.1814,244.6018,24.55496,229.8149,25.19493,0,1.777645,0.2569926,1.891226,0.3708498,1.672706,0.3564618,18
23,2,3,230.7971,26.40145,1.342743,55.0146,230.0508,42.39973,228.7081,35.05523,0,1.688811,0.3745193,1.709075,0.5880096,1.674979,0.4858058,2
23,2,4,243.5145,30.63918,5.947159,62.85049,244.4427,42.66644,238.4955,46.14931,0,1.885148,0.4566467,1.924677,0.6290284,1.841104,0.6639799,5
23,2,5,273.6008,32.56625,43.94669,66.71309,294.9753,45.63875,251.0286,48.65944,0,2.375892,0.5467255,2.787288,0.8153904,2.039865,0.7369234,16
23,2,6,259.7187,38.04439,122.7122,75.43956,322.3932,46.4594,199.681,59.4361,0,2.155901,0.6001002,3.319943,0.9104104,1.261574,0.7979965,13
23,2,7,199.9001,63.4226,-97.02579,104.9902,174.9467,69.76686,271.9725,78.45717,0,1.225595,0.8910143,0.4685255,1.149987,2.362717,1.409382,2
23,2,8,,,,,,,,,,,,,,,,13
23,2,9,,,,,,,,,,,,,,,,11
23,2,10,,,,,,,,,,,,,,,,11
23,2,11,,,,,,,,,,,,,,,,5
23,2,12,,,,,,,,,,,,,,,,13
23,2,13,,,,,,,,,,,,,,,,4
23,2,14,,,,,,,,,,,,,,,,13
23,3,0,120.7902,34.8339,0,0,120.7902,34.8339,120.7902,34.8339,0,0.4660806,0.277862,0.4660806,0.277862,0.4660806,0.277862,14
23,3,1,258.7001,15.80918,-31.83612,32.08976,241.9002,24.02147,273.7363,21.27726,0,2.102267,0.254752,1.849333,0.3588849,2.359154,0.3616789,11
